WAS,WASs,TDS,TDSs,BUS,BUSs,SS,SSs,RNASize,RNAfold,WAS300,TDS300
0.875,15,0.875,15,0.875,22,0.875,15,28,0.875,,
0.952381,28,0.952381,28,0,5,0.952381,28,28,0.952381,,
1,16,1,16,1,16,1,16,28,1,,
0.923077,28,0.923077,28,0,5,0.923077,28,28,0.923077,,
0.615385,8,0.615385,8,0.615385,8,0.615385,8,29,0,,
0.952381,29,0.952381,29,0,5,0.952381,29,29,0.952381,,
0.869565,29,0.869565,29,0.375,10,0.869565,29,29,0.869565,,
0.888889,12,0.888889,12,0.888889,12,0,5,29,0,,
0.933333,25,0.933333,25,0,5,0.933333,25,29,0.823529,,
0.9,29,0.9,29,0.533333,12,0.9,29,29,0.9,,
0.818182,29,0.818182,29,0.375,10,0.818182,29,29,0.818182,,
0.962963,30,0.962963,30,0.25,8,0.962963,30,30,0.962963,,
0.818182,30,0.818182,30,0.266667,11,0.818182,30,30,0.818182,,
0.833333,14,0.833333,14,0.833333,15,0.727273,12,30,0,,
0.833333,14,0.833333,14,0.833333,15,0.727273,12,30,0,,
0.909091,30,0.909091,30,0.588235,14,0.909091,30,30,0.909091,,
1,30,1,30,0,5,1,30,30,1,,
0.888889,17,0.888889,17,0.571429,8,0.888889,17,30,0.888889,,
0.8,29,0.8,29,0,5,0.8,29,30,0.8,,
1,23,1,23,1,23,1,23,30,1,,
1,13,1,13,0.666667,8,1,13,30,0.888889,,
0.869565,30,0.869565,30,0.375,11,0.869565,30,30,0.869565,,
0.833333,30,0.833333,30,0.526316,14,0.833333,30,30,0.833333,,
1,15,1,15,0.571429,8,1,15,31,1,,
1,31,1,31,0,5,1,31,31,1,,
0.869565,31,0.869565,31,0.375,10,0.869565,31,31,0.869565,,
0.947368,16,0.947368,16,0.947368,16,0.947368,16,31,0.947368,,
0.8,24,0.8,24,0.6,10,0.8,24,31,0.666667,,
0,5,0,5,0,5,0,5,32,0,,
0.769231,19,0.769231,19,0,5,0.769231,19,32,0.769231,,
0,5,0,5,0,5,0,5,32,0,,
0.888889,26,0.842105,28,0.375,10,0.888889,26,32,0.761905,,
0.857143,16,0.857143,16,0.769231,16,0.363636,12,32,0,,
0.88,32,0.88,32,0.352941,11,0.88,32,32,0.88,,
0,5,1,23,0,5,0,5,32,0,,
0.947368,16,0.947368,16,0.588235,18,0.947368,16,32,0,,
0.909091,31,0.909091,31,0,5,0.909091,31,32,0.909091,,
0.533333,8,0.533333,8,0.533333,8,0.533333,8,33,0,,
1,32,1,32,0,5,1,32,33,1,,
0.857143,33,0.857143,33,0.307692,8,0.857143,33,33,0.857143,,
1,31,1,31,0,5,1,31,33,1,,
0,5,1,26,0,5,0,5,34,0,,
0.888889,34,0.888889,34,0.363636,12,0.888889,34,34,0.888889,,
0.962963,34,0.962963,34,0.555556,14,0.962963,34,34,0.962963,,
0.962963,34,0.962963,34,0.352941,10,0.962963,34,34,0.962963,,
0.909091,17,0.909091,17,0.571429,8,0.909091,17,34,0.909091,,
0.962963,34,0.962963,34,0.962963,34,0.962963,34,34,0.962963,,
1,31,1,31,0.666667,21,1,31,34,1,,
0.8,35,0.8,35,0.333333,10,0.8,35,35,0.8,,
0.928571,34,0.928571,34,0,5,0.928571,34,35,0.928571,,
1,31,1,31,0.571429,19,1,31,35,1,,
0.818182,19,0.818182,19,0.533333,13,0.818182,19,36,0.818182,,
0.941176,36,0.941176,36,0,5,0.941176,36,36,0.941176,,
0,5,0.32,18,0.363636,24,0,5,36,0,,
0.933333,26,0.933333,26,0.933333,26,0.933333,26,36,0.933333,,
0.888889,36,0.888889,36,0,5,0.888889,36,36,0.888889,,
0.814815,36,0.814815,36,0,5,0.814815,36,37,0.814815,,
0.888889,38,0.888889,38,0.421053,12,0.888889,38,38,0.888889,,
0.866667,38,0.866667,38,0,5,0.866667,38,38,0.866667,,
1,38,1,38,0.444444,21,1,38,38,1,,
0.962963,38,0.962963,38,0.526316,14,0.962963,38,38,0.962963,,
0.96,19,0.96,19,0.434783,16,0.96,19,39,0.96,,
0.888889,20,0.888889,20,0.516129,24,0,5,40,0,,
0.333333,24,0.333333,24,0.363636,26,0,5,40,0,,
0.32,12,0.32,12,0.32,12,0.32,12,40,0.307692,,
0.428571,9,0.428571,9,0.428571,9,0.428571,9,40,0,,
0,5,0,5,0,5,0,5,40,0,,
0.928571,21,0.928571,21,0,5,0.928571,21,40,0,,
0.933333,20,0.933333,20,0.545455,13,0.933333,20,40,0.933333,,
0.888889,20,0.888889,20,0.516129,26,0,5,40,0,,
0.971429,41,0.971429,41,0.666667,24,0.971429,41,41,0.971429,,
0.352941,10,0.352941,10,0.352941,10,0.352941,10,41,0.26087,,
0.8,41,0.8,41,0.470588,14,0.8,41,41,0.8,,
0.434783,10,0.434783,10,0.5,12,0.434783,10,41,0.296296,,
0.944444,40,0.944444,40,0.533333,36,0.944444,40,42,0.944444,,
0.96,18,0.96,18,0.631579,12,0.96,18,42,0.923077,,
0.75,42,0.75,42,0,5,0.75,42,42,0.75,,
0.714286,42,0.714286,42,0,5,0.714286,42,43,0.714286,,
0.666667,24,0.666667,24,0,5,0.666667,24,43,0.642857,,
0.896552,43,0.896552,43,0,5,0.896552,43,44,0.896552,,
0,5,0.538462,22,0,5,0,5,44,0,,
0.903226,44,0.903226,44,0,5,0.903226,44,44,0.903226,,
0.75,42,0.75,42,0,5,0.75,42,44,0.75,,
0.941176,20,0.941176,20,0.533333,20,0.941176,20,44,0,,
0.434783,20,0.692308,20,0.434783,20,0.434783,20,44,0,,
0.965517,21,0.965517,21,0.965517,24,0.965517,21,44,0,,
0.285714,17,0.5,17,0.275862,17,0.285714,17,44,0,,
0.941176,40,0.941176,40,0.210526,10,0.941176,40,44,0.914286,,
0.974359,45,0.974359,45,0.588235,24,0.974359,45,45,0.974359,,
0.909091,43,0.909091,43,0,5,0.909091,43,45,0.909091,,
0.923077,46,0.923077,46,0.25,10,0.923077,46,46,0.923077,,
1,23,1,23,0,5,1,23,46,0,,
0.976744,46,0.976744,46,0,5,0.976744,46,46,0.976744,,
0.9,46,0.9,46,0.37037,14,0.9,46,46,0.9,,
0.83871,43,0.83871,43,0.210526,9,0.83871,43,47,0.83871,,
0.8,24,0.8,24,0.363636,10,0.363636,10,48,0,,
0.909091,24,0.909091,24,0.526316,28,0,5,48,0,,
0,5,0,5,0,5,0,5,48,0,,
0.230769,9,0.222222,9,0.25,23,0.230769,9,48,0,,
0.222222,48,0.222222,48,0,5,0.222222,48,48,0.222222,,
0.714286,12,0.666667,11,0.714286,12,0.714286,12,48,0.625,,
1,23,1,23,0,5,1,23,48,0,,
0,5,0,5,0,5,0.333333,12,48,0,,
0.9375,49,0.9375,49,0.380952,8,0.9375,49,49,0.9375,,
0.977778,48,0.977778,48,0.266667,16,0.977778,48,50,0.956522,,
0.470588,25,0.470588,25,0.333333,8,0.470588,25,50,0.470588,,
0.516129,21,0.533333,19,0.416667,17,0.416667,17,51,0,,
1,19,1,19,0.714286,15,1,19,52,1,,
0.888889,20,0.888889,20,0.888889,20,0.869565,16,55,0.272727,,
0.96,30,0.96,30,0,5,0.96,30,56,0.96,,
0.533333,12,0.533333,12,0.777778,17,0.533333,12,56,0.47619,,
0.923077,28,0.923077,28,0.923077,28,0.923077,28,56,0,,
0.96,30,0.96,30,0.7,18,0.96,30,56,0.96,,
0.923077,38,0.923077,38,0.378378,19,0.923077,38,57,0.923077,,
0.842105,54,0.842105,54,0.25,24,0.842105,54,57,0.842105,,
0.571429,29,0.571429,29,0.315789,44,0.571429,29,58,0,,
1,30,1,30,0.4,12,1,30,60,1,,
0.909091,17,0.909091,17,0.833333,23,0.909091,17,60,0.625,,
0.536585,35,0.536585,35,0.375,10,0.487805,33,60,0.487805,,
0.55,36,0.55,36,0.387097,10,0.5,34,61,0.5,,
0.682927,36,0.682927,36,0.4,10,0.682927,36,61,0.682927,,
0.55,36,0.55,36,0.387097,10,0.5,34,61,0.5,,
0.682927,36,0.682927,36,0.4,10,0.682927,36,61,0.682927,,
0.666667,36,0.666667,36,0.387097,10,0.666667,36,61,0.666667,,
0.344828,26,0.4,50,0.25,11,0.344828,26,61,0.1875,,
0.651163,36,0.651163,36,0.230769,10,0.651163,36,62,0.651163,,
0.628571,63,0.628571,63,0.230769,19,0.628571,63,63,0.628571,,
0.551724,17,0.529412,62,0.551724,17,0.529412,62,64,0.529412,,
0.410256,18,0.820513,16,0.606061,38,0.266667,12,64,0,,
0.742857,17,0.742857,17,0.742857,17,0.742857,17,65,0.368421,,
0.540541,62,0.540541,62,0.571429,17,0.540541,62,66,0.540541,,
0.90566,32,0.90566,32,0.711111,48,0.862745,30,66,0,,
0.833333,17,0.833333,17,0.363636,18,0.833333,17,67,0.75,,
0.947368,67,0.947368,67,0.709677,19,0.947368,67,67,0.947368,,
0.918919,67,0.918919,67,0.733333,19,0.918919,67,68,0.918919,,
0.944444,65,0.944444,65,0.733333,19,0.944444,65,68,0.918919,,
1,67,1,67,0.758621,19,1,67,68,1,,
0.9,67,0.9,67,0.413793,19,0.9,67,68,0.9,,
1,67,1,67,0.444444,19,1,67,68,1,,
0.947368,67,0.947368,67,0.666667,17,0.947368,67,68,0.947368,,
0.95,18,0.95,18,0.258065,12,0.95,18,69,0.357143,,
0.512821,68,0.512821,68,0,5,0.512821,68,69,0.512821,,
0.606061,19,0.848485,19,0.645161,20,0.606061,19,70,0.352941,,
0.842105,70,0.842105,70,0.541667,52,0.842105,70,70,0.842105,,
0.909091,71,0.909091,71,0.457143,17,0.909091,71,71,0.909091,,
0.909091,71,0.909091,71,0.457143,17,0.909091,71,71,0.909091,,
0.685714,17,0.685714,17,0.193548,15,0.685714,17,71,0.511628,,
0.536585,71,0.536585,71,0.30303,22,0.536585,71,72,0.536585,,
0.651163,67,0.722222,17,0.30303,26,0.651163,67,72,0.651163,,
0.25,32,0.25,32,0.0769231,18,0.25,32,72,0,,
0.75,68,0.75,68,0.2,29,0.75,68,73,0.75,,
0.651163,68,0.722222,17,0.30303,27,0.651163,68,73,0.651163,,
0.634146,70,0.634146,70,0.228571,15,0.634146,70,73,0.634146,,
0.564103,71,0.564103,71,0.333333,37,0.564103,71,73,0.564103,,
0.214286,14,0.2,60,0.230769,29,0.193548,62,73,0,,
0.851064,73,0.851064,73,0.424242,51,0.851064,73,74,0.851064,,
0.333333,73,0.5,57,0.30303,35,0.5,57,74,0.333333,,
0.926829,69,0.926829,69,0.3125,34,0.926829,69,74,0.926829,,
0.615385,70,0.615385,70,0.307692,64,0.615385,70,74,0.615385,,
0.755556,70,0.755556,70,0.387097,64,0.755556,70,74,0.755556,,
0.954545,71,0.954545,71,0.529412,52,0.954545,71,75,0.954545,,
0.943396,38,0.943396,38,0.285714,11,0.943396,38,75,0,,
0.536585,71,0.536585,71,0.3125,37,0.536585,71,75,0.536585,,
0.526316,17,0.756757,17,0.266667,25,0.756757,17,75,0.325581,,
0.608696,74,0.608696,74,0.235294,14,0.608696,74,75,0.608696,,
0.454545,74,0.454545,74,0.411765,27,0.454545,74,75,0.454545,,
0.764706,17,0.764706,17,0.258065,26,0.764706,17,75,0.545455,,
0.622222,75,0.622222,75,0.242424,14,0.622222,75,76,0.622222,,
0.65,70,0.65,70,0.352941,15,0.65,70,76,0.65,,
0.681818,72,0.702703,17,0.242424,27,0.681818,72,76,0.681818,,
0.666667,72,0.666667,72,0.242424,16,0.666667,72,76,0.666667,,
0.9,72,0.9,72,0.545455,16,0.9,72,76,0.9,,
0.722222,17,0.722222,17,0.470588,24,0.722222,17,76,0.325581,,
0.777778,17,0.777778,17,0.322581,41,0.777778,17,76,0.292683,,
0.966667,25,0.966667,25,0.679245,26,0.966667,25,77,0.341463,,
0.928571,22,0.928571,22,0.68,23,0.928571,22,78,0.439024,,
0.933333,20,0.933333,20,0.933333,20,0.933333,20,79,0.608696,,
0.55,73,0.55,73,0.228571,17,0.55,73,79,0.55,,
0.26087,80,0.26087,80,0.222222,16,0.26087,80,80,0.26087,,
0.734694,80,0.809524,19,0.809524,31,0.734694,80,81,0.734694,,
0.47619,10,0.47619,10,0.536585,12,0.47619,10,82,0,,
0.333333,10,0.235294,10,0.333333,10,0.333333,10,84,0,,
0.971429,43,0.971429,43,0.470588,16,0.971429,43,86,0.971429,,
0.892308,43,0.892308,43,0.518519,55,0.339623,37,88,0,,
0.846154,21,0.846154,21,0.333333,60,0.846154,21,92,0,,
1,23,1,23,0.35,67,1,23,92,0,,
0.892857,93,0.892857,93,0.461538,11,0.892857,93,94,0.892857,,
0.888889,47,0.888889,47,0,5,0.888889,47,94,0.888889,,
0.111111,9,0.117647,9,0.375,23,0.111111,9,96,0,,
0.909091,24,0.909091,24,0.909091,24,0.857143,22,96,0,,
0.892308,95,0.892308,95,0.4,19,0.892308,95,97,0.892308,,
0.642857,23,0.852459,31,0.56,47,0.705882,14,98,0.615385,,
0.654545,14,0.8,29,0.54902,45,0.654545,14,98,0.461538,,
0.84507,99,0.84507,99,0.344828,19,0.84507,99,101,0.84507,,
0.244898,50,1,20,0,5,0.545455,46,120,0.230769,,
0.537313,53,0.537313,53,0.218182,19,0.537313,53,120,0.294118,,
0.346667,119,0.464286,93,0,5,0.464286,93,136,0,,
0.684211,40,0.702703,40,0.459016,60,0.702703,69,139,0.531646,,
0.266667,74,0.272727,33,0.529412,25,0.26087,113,140,0.255319,,
0.691358,64,0.691358,64,0.338983,38,0.691358,64,141,0.682927,,
0.691358,64,0.691358,64,0.333333,20,0.691358,64,141,0.682927,,
0.691358,64,0.691358,64,0.333333,20,0.691358,64,142,0.682927,,
0.738095,120,0.764045,49,0.540541,12,0.738095,120,142,0.738095,,
0.705882,73,0.705882,73,0.382353,27,0.705882,73,142,0.705882,,
0.675,64,0.675,64,0.333333,20,0.675,64,143,0.666667,,
0.714286,19,0.828571,19,0.716418,20,0.714286,19,145,0.591549,,
0.54321,73,0.54321,73,0.253968,73,0.54321,73,146,0.108108,,
0.574713,71,0.575342,21,0.492308,69,0.574713,71,146,0,,
0.547945,17,0.533333,17,0.434783,69,0.547945,17,147,0.322581,,
0.759494,73,0.759494,73,0.42623,68,0.759494,73,148,0.492308,,
0.666667,19,0.75,17,0.707692,20,0.666667,19,148,0.441176,,
0.933333,71,0.933333,71,0.394366,83,0.8,65,150,0.526316,,
0.764045,73,0.764045,73,0.558824,73,0.764045,73,150,0.277778,,
0.758621,73,0.758621,73,0.542857,77,0.758621,73,150,0.28169,,
0.56338,17,0.556962,71,0.447761,52,0.56338,17,150,0.338983,,
1,25,1,25,0.461538,44,1,25,150,0.45,,
0.917647,71,0.917647,71,0.550725,83,0.727273,17,152,0.285714,,
0.719101,72,0.719101,72,0.444444,14,0.719101,72,152,0,,
0.933333,71,0.933333,71,0.394366,83,0.8,65,152,0.526316,,
0.666667,17,0.666667,17,0.507463,24,0.666667,17,152,0.473684,,
0.717949,17,0.717949,17,0.567164,68,0.717949,17,152,0,,
0.694737,134,0.694737,134,0.342105,102,0.694737,134,153,0.653061,,
0.585366,36,0.585366,36,0.257143,79,0.648649,26,154,0.368421,,
0.963855,71,0.963855,71,0.676471,81,0.648649,17,154,0.57971,,
0.821053,155,0.821053,155,0.415584,37,0.821053,155,155,0.821053,,
0.0689655,37,0.24,37,0,5,0,5,156,0,,
0.73913,74,0.73913,74,0.426667,14,0.73913,74,156,0,,
0.780952,105,0.780952,105,0.333333,46,0.780952,105,159,0.754717,,
0.685714,90,0.679245,92,0.214286,12,0.685714,90,162,0.647619,,
0.327273,43,0.255319,39,0.585366,25,0.244898,60,175,0.1,,
0.629214,19,0.629214,19,0.666667,19,0.629214,19,176,0.45,,
0.647887,126,0.647887,126,0.201835,36,0.647887,126,217,0.643357,,
0.678261,17,0.678261,17,0.514852,24,0.678261,17,225,0.321429,,
0.678571,17,0.678571,17,0.525253,24,0.678571,17,228,0.327273,,
0.581197,17,0.545455,62,0.528302,42,0.47619,16,248,0.110092,,
0.567742,72,0.578947,218,0.467153,50,0.578947,218,266,0.556962,,
0.43609,77,0.488189,76,0.285714,157,0.488189,76,267,0.414815,,
0.598425,19,0.409836,19,0.479339,74,0.609375,17,272,0.251852,,
0.523256,294,0.523256,294,0.503401,127,0.523256,294,298,0.517241,,
0.854167,107,0.854167,107,0.402985,67,0.854167,107,314,0.658824,,
0.824121,107,0.81592,115,0.350649,86,0.824121,107,315,0.760976,,
0.826923,108,0.792453,106,0.350649,97,0.826923,108,316,0.645161,,
0.689655,17,0.689655,17,0.496815,24,0.689655,17,380,0.27907,,
0.495327,40,0.530233,89,0.248588,89,0.530233,89,408,0.252336,,
